id,Name,Experience,Height,Weight,Abilitie 1,Abilitie 2,Abilitie 3,Move 1,Move 2,Move 3,Move 3,Move 5,Move 6,Move 7
226,mantine,170,21,2200,water-veil,water-absorb,swift-swim,wing-attack,slam,headbutt,tackle,body-slam,take-down,double-edge
227,skarmory,163,17,505,weak-armor,sturdy,keen-eye,swords-dance,cut,whirlwind,fly,sand-attack,fury-attack,double-edge
228,houndour,66,6,108,unnerve,flash-fire,early-bird,headbutt,body-slam,double-edge,leer,bite,roar,ember
229,houndoom,175,14,350,unnerve,flash-fire,early-bird,headbutt,body-slam,double-edge,leer,bite,roar,ember
230,kingdra,243,18,1520,damp,sniper,swift-swim,headbutt,body-slam,double-edge,leer,water-gun,hydro-pump,surf
231,phanpy,66,5,335,sand-veil,pickup,,slam,headbutt,tackle,body-slam,take-down,double-edge,growl
232,donphan,175,11,1200,sand-veil,sturdy,,slam,headbutt,horn-attack,fury-attack,body-slam,double-edge,growl
233,porygon2,180,6,325,analytic,download,trace,tackle,double-edge,ice-beam,blizzard,psybeam,hyper-beam,solar-beam
234,stantler,163,14,712,sap-sipper,frisk,intimidate,stomp,double-kick,jump-kick,sand-attack,headbutt,tackle,body-slam
235,smeargle,88,12,580,moody,technician,own-tempo,sketch,,,,,,
236,tyrogue,42,7,210,vital-spirit,steadfast,guts,mega-kick,headbutt,tackle,body-slam,double-edge,low-kick,counter
237,hitmontop,159,14,480,steadfast,technician,intimidate,mega-kick,rolling-kick,headbutt,body-slam,double-edge,low-kick,counter
238,smoochum,61,4,60,hydration,forewarn,oblivious,pound,mega-punch,ice-punch,mega-kick,body-slam,double-edge,sing
239,elekid,72,6,235,vital-spirit,static,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,rolling-kick
240,magby,73,7,214,vital-spirit,flame-body,,karate-chop,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,body-slam
241,miltank,172,12,755,sap-sipper,scrappy,thick-fat,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt
242,blissey,608,15,468,healer,serene-grace,natural-cure,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
243,raikou,261,19,1780,inner-focus,pressure,,cut,headbutt,body-slam,double-edge,leer,bite,roar
244,entei,261,21,1980,inner-focus,pressure,,cut,stomp,headbutt,body-slam,double-edge,leer,bite
245,suicune,261,20,1870,inner-focus,pressure,,cut,gust,headbutt,body-slam,double-edge,leer,bite
246,larvitar,60,6,720,sand-veil,guts,,stomp,headbutt,body-slam,thrash,double-edge,leer,bite
247,pupitar,144,12,1520,shed-skin,,,headbutt,body-slam,thrash,double-edge,leer,bite,hyper-beam
248,tyranitar,270,20,2020,unnerve,sand-stream,,mega-punch,fire-punch,ice-punch,thunder-punch,cut,mega-kick,headbutt
249,lugia,306,52,2160,multiscale,pressure,,gust,whirlwind,fly,headbutt,body-slam,double-edge,roar
250,ho-oh,306,38,1990,regenerator,pressure,,gust,whirlwind,fly,double-edge,roar,flamethrower,hyper-beam
251,celebi,270,6,50,natural-cure,,,swords-dance,cut,double-edge,hyper-beam,leech-seed,solar-beam,thunder-wave
252,treecko,62,5,50,unburden,overgrow,,pound,mega-punch,thunder-punch,razor-wind,swords-dance,cut,slam
253,grovyle,142,9,216,unburden,overgrow,,pound,mega-punch,thunder-punch,swords-dance,cut,slam,mega-kick
254,sceptile,239,17,522,unburden,overgrow,,pound,mega-punch,thunder-punch,swords-dance,cut,slam,mega-kick
255,torchic,62,4,25,speed-boost,blaze,,mega-punch,scratch,swords-dance,cut,mega-kick,sand-attack,headbutt
256,combusken,142,9,195,speed-boost,blaze,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,double-kick
257,blaziken,239,19,520,speed-boost,blaze,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,double-kick
258,mudkip,62,4,76,damp,torrent,,stomp,headbutt,tackle,body-slam,take-down,double-edge,bite
259,marshtomp,142,7,280,damp,torrent,,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down
260,swampert,241,15,819,damp,torrent,,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down
261,poochyena,56,5,136,rattled,quick-feet,run-away,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,leer
262,mightyena,147,10,370,moxie,quick-feet,intimidate,sand-attack,headbutt,tackle,body-slam,take-down,double-edge,bite
263,zigzagoon,56,4,175,quick-feet,gluttony,pickup,cut,sand-attack,headbutt,tackle,body-slam,take-down,double-edge
264,linoone,147,5,325,quick-feet,gluttony,pickup,cut,sand-attack,headbutt,tackle,body-slam,double-edge,tail-whip
265,wurmple,56,3,36,run-away,shield-dust,,tackle,poison-sting,string-shot,snore,bug-bite,electroweb,
266,silcoon,72,6,100,shed-skin,,,string-shot,harden,iron-defense,bug-bite,electroweb,,
267,beautifly,178,10,284,rivalry,swarm,,gust,whirlwind,double-edge,hyper-beam,absorb,mega-drain,solar-beam
268,cascoon,72,7,115,shed-skin,,,string-shot,harden,iron-defense,bug-bite,electroweb,,
269,dustox,173,12,316,compound-eyes,shield-dust,,gust,whirlwind,double-edge,psybeam,hyper-beam,solar-beam,poison-powder
270,lotad,44,5,26,own-tempo,rain-dish,swift-swim,swords-dance,headbutt,body-slam,double-edge,growl,mist,water-gun
271,lombre,119,12,325,own-tempo,rain-dish,swift-swim,fire-punch,ice-punch,thunder-punch,swords-dance,headbutt,body-slam,double-edge
272,ludicolo,216,15,550,own-tempo,rain-dish,swift-swim,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,mega-kick,headbutt
273,seedot,44,5,40,pickpocket,early-bird,chlorophyll,razor-wind,swords-dance,headbutt,body-slam,take-down,double-edge,leech-seed
274,nuzleaf,119,10,280,pickpocket,early-bird,chlorophyll,pound,razor-wind,swords-dance,cut,mega-kick,headbutt,body-slam
275,shiftry,216,13,596,pickpocket,early-bird,chlorophyll,pound,swords-dance,cut,whirlwind,mega-kick,headbutt,body-slam
276,taillow,54,3,23,scrappy,guts,,wing-attack,whirlwind,fly,double-edge,growl,supersonic,peck
277,swellow,159,7,198,scrappy,guts,,wing-attack,fly,double-edge,growl,hyper-beam,peck,counter
278,wingull,54,6,95,rain-dish,hydration,keen-eye,gust,wing-attack,fly,double-edge,growl,supersonic,mist
279,pelipper,154,12,280,rain-dish,drizzle,keen-eye,wing-attack,fly,double-edge,growl,supersonic,mist,water-gun
280,ralts,40,4,66,telepathy,trace,synchronize,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge,growl
281,kirlia,97,8,202,telepathy,trace,synchronize,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge,growl
282,gardevoir,233,16,484,telepathy,trace,synchronize,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge,growl
283,surskit,54,5,17,rain-dish,swift-swim,,double-edge,mist,hydro-pump,ice-beam,blizzard,psybeam,bubble-beam
284,masquerain,159,8,36,unnerve,intimidate,,gust,whirlwind,double-edge,ice-beam,blizzard,hyper-beam,solar-beam
285,shroomish,59,4,45,quick-feet,poison-heal,effect-spore,swords-dance,headbutt,tackle,body-slam,double-edge,absorb,mega-drain
286,breloom,161,12,392,technician,poison-heal,effect-spore,mega-punch,thunder-punch,swords-dance,cut,mega-kick,headbutt,tackle
287,slakoth,56,8,240,truant,,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut,mega-kick
288,vigoroth,154,14,465,vital-spirit,,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut,mega-kick
289,slaking,252,20,1305,truant,,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut,mega-kick
290,nincada,53,5,55,run-away,compound-eyes,,scratch,cut,gust,sand-attack,double-edge,absorb,solar-beam
291,ninjask,160,8,120,infiltrator,speed-boost,,scratch,swords-dance,cut,sand-attack,double-edge,hyper-beam,absorb
292,shedinja,83,8,12,wonder-guard,,,scratch,cut,sand-attack,double-edge,hyper-beam,absorb,solar-beam
293,whismur,48,6,163,rattled,soundproof,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick
294,loudred,126,10,405,scrappy,soundproof,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick
295,exploud,221,15,840,scrappy,soundproof,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick
296,makuhita,47,10,864,sheer-force,guts,thick-fat,mega-punch,fire-punch,ice-punch,thunder-punch,whirlwind,mega-kick,sand-attack
297,hariyama,166,23,2538,sheer-force,guts,thick-fat,mega-punch,fire-punch,ice-punch,thunder-punch,whirlwind,mega-kick,sand-attack
298,azurill,38,2,20,sap-sipper,huge-power,thick-fat,slam,headbutt,body-slam,double-edge,tail-whip,sing,water-gun
299,nosepass,75,10,970,sand-force,magnet-pull,sturdy,fire-punch,ice-punch,thunder-punch,headbutt,tackle,body-slam,double-edge
300,skitty,52,6,110,wonder-skin,normalize,cute-charm,double-slap,headbutt,tackle,body-slam,double-edge,tail-whip,growl
301,delcatty,140,11,326,wonder-skin,normalize,cute-charm,double-slap,headbutt,body-slam,double-edge,growl,sing,ice-beam
302,sableye,133,5,110,prankster,stall,keen-eye,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut,mega-kick
303,mawile,133,6,115,sheer-force,intimidate,hyper-cutter,mega-punch,ice-punch,thunder-punch,vice-grip,swords-dance,slam,mega-kick
304,aron,66,4,600,heavy-metal,rock-head,sturdy,cut,stomp,headbutt,tackle,body-slam,take-down,double-edge
305,lairon,151,9,1200,heavy-metal,rock-head,sturdy,cut,headbutt,tackle,body-slam,take-down,double-edge,roar
306,aggron,239,21,3600,heavy-metal,rock-head,sturdy,mega-punch,fire-punch,ice-punch,thunder-punch,cut,mega-kick,headbutt
307,meditite,56,6,112,telepathy,pure-power,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
308,medicham,144,13,315,telepathy,pure-power,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
309,electrike,59,6,152,minus,lightning-rod,static,headbutt,tackle,body-slam,double-edge,leer,bite,roar
310,manectric,166,15,402,minus,lightning-rod,static,headbutt,tackle,body-slam,double-edge,leer,bite,roar
311,plusle,142,4,42,lightning-rod,plus,,mega-punch,thunder-punch,mega-kick,headbutt,body-slam,double-edge,growl
312,minun,142,4,42,volt-absorb,minus,,mega-punch,thunder-punch,mega-kick,headbutt,body-slam,double-edge,growl
313,volbeat,151,7,177,prankster,swarm,illuminate,mega-punch,ice-punch,thunder-punch,mega-kick,tackle,body-slam,double-edge
314,illumise,151,6,177,prankster,tinted-lens,oblivious,mega-punch,ice-punch,thunder-punch,mega-kick,tackle,body-slam,double-edge
315,roselia,140,3,20,leaf-guard,poison-point,natural-cure,swords-dance,cut,body-slam,double-edge,poison-sting,pin-missile,absorb
316,gulpin,60,4,103,gluttony,sticky-hold,liquid-ooze,pound,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge
317,swalot,163,17,800,gluttony,sticky-hold,liquid-ooze,pound,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge
318,carvanha,61,8,208,speed-boost,rough-skin,,take-down,thrash,double-edge,leer,bite,hydro-pump,surf
319,sharpedo,161,18,888,speed-boost,rough-skin,,double-edge,leer,bite,roar,surf,ice-beam,blizzard
320,wailmer,80,20,1300,pressure,oblivious,water-veil,headbutt,body-slam,thrash,double-edge,growl,roar,mist
321,wailord,175,145,3980,pressure,oblivious,water-veil,headbutt,body-slam,double-edge,growl,roar,mist,water-gun
322,numel,61,7,240,own-tempo,simple,oblivious,stomp,headbutt,tackle,body-slam,take-down,double-edge,growl
323,camerupt,161,19,2200,anger-point,solid-rock,magma-armor,headbutt,tackle,body-slam,take-down,double-edge,growl,roar
324,torkoal,165,5,804,shell-armor,drought,white-smoke,headbutt,body-slam,double-edge,ember,flamethrower,hyper-beam,strength
325,spoink,66,7,306,gluttony,own-tempo,thick-fat,whirlwind,headbutt,body-slam,double-edge,psybeam,thunder-wave,toxic
326,grumpig,165,9,715,gluttony,own-tempo,thick-fat,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam
327,spinda,126,11,50,contrary,tangled-feet,own-tempo,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,tackle
328,trapinch,58,7,150,sheer-force,arena-trap,hyper-cutter,gust,sand-attack,headbutt,body-slam,double-edge,bite,hyper-beam
329,vibrava,119,11,153,levitate,,,fly,sand-attack,headbutt,body-slam,double-edge,bite,supersonic
330,flygon,234,20,820,levitate,,,fire-punch,thunder-punch,fly,sand-attack,headbutt,body-slam,double-edge
331,cacnea,67,4,513,water-absorb,sand-veil,,mega-punch,thunder-punch,swords-dance,cut,sand-attack,headbutt,body-slam
332,cacturne,166,13,774,water-absorb,sand-veil,,mega-punch,thunder-punch,swords-dance,cut,mega-kick,sand-attack,headbutt
333,swablu,62,4,12,cloud-nine,natural-cure,,fly,fury-attack,body-slam,take-down,double-edge,growl,sing
334,altaria,172,11,206,cloud-nine,natural-cure,,fly,fury-attack,body-slam,take-down,double-edge,growl,roar
335,zangoose,160,13,403,toxic-boost,immunity,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,razor-wind,swords-dance
336,seviper,160,27,525,infiltrator,shed-skin,,swords-dance,bind,headbutt,body-slam,wrap,double-edge,bite
337,lunatone,161,10,1680,levitate,,,tackle,body-slam,double-edge,ice-beam,blizzard,hyper-beam,rock-throw
338,solrock,161,12,1540,levitate,,,tackle,body-slam,double-edge,flamethrower,hyper-beam,solar-beam,fire-spin
339,barboach,58,4,19,hydration,anticipation,oblivious,headbutt,take-down,thrash,double-edge,water-gun,hydro-pump,surf
340,whiscash,164,9,236,hydration,anticipation,oblivious,headbutt,thrash,double-edge,water-gun,surf,ice-beam,blizzard
341,corphish,62,6,115,adaptability,shell-armor,hyper-cutter,vice-grip,guillotine,swords-dance,cut,body-slam,double-edge,leer
342,crawdaunt,164,11,328,adaptability,shell-armor,hyper-cutter,vice-grip,guillotine,swords-dance,cut,body-slam,double-edge,leer
343,baltoy,60,5,215,levitate,,,headbutt,double-edge,ice-beam,psybeam,solar-beam,earthquake,dig
344,claydol,175,15,1080,levitate,,,headbutt,double-edge,ice-beam,psybeam,hyper-beam,strength,solar-beam
345,lileep,71,10,238,storm-drain,suction-cups,,swords-dance,bind,body-slam,double-edge,acid,mega-drain,solar-beam
346,cradily,173,15,604,storm-drain,suction-cups,,swords-dance,bind,headbutt,body-slam,double-edge,acid,hyper-beam
347,anorith,71,7,125,swift-swim,battle-armor,,scratch,swords-dance,cut,sand-attack,headbutt,body-slam,double-edge
348,armaldo,173,15,682,swift-swim,battle-armor,,scratch,swords-dance,cut,headbutt,body-slam,double-edge,water-gun
349,feebas,40,6,74,adaptability,oblivious,swift-swim,tackle,double-edge,mist,surf,ice-beam,blizzard,toxic
350,milotic,189,62,1620,cute-charm,competitive,marvel-scale,bind,body-slam,wrap,double-edge,water-gun,hydro-pump,surf
351,castform,147,3,8,forecast,,,headbutt,tackle,body-slam,double-edge,disable,ember,flamethrower
352,kecleon,154,10,220,protean,color-change,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,cut,bind
353,shuppet,59,6,23,cursed-body,frisk,insomnia,headbutt,body-slam,double-edge,disable,thunderbolt,thunder-wave,thunder
354,banette,159,11,125,cursed-body,frisk,insomnia,headbutt,body-slam,double-edge,hyper-beam,thunderbolt,thunder-wave,thunder
355,duskull,59,8,150,frisk,levitate,,headbutt,body-slam,double-edge,leer,disable,ice-beam,blizzard
356,dusclops,159,16,306,frisk,pressure,,mega-punch,fire-punch,ice-punch,thunder-punch,bind,mega-kick,headbutt
357,tropius,161,20,1000,harvest,solar-power,chlorophyll,razor-wind,swords-dance,cut,gust,whirlwind,fly,slam
358,chimecho,159,6,10,levitate,,,bind,wrap,take-down,double-edge,growl,disable,thunder-wave
359,absol,163,12,470,justified,super-luck,pressure,scratch,razor-wind,swords-dance,cut,headbutt,body-slam,double-edge
360,wynaut,52,6,140,telepathy,shadow-tag,,counter,splash,destiny-bond,charm,safeguard,encore,mirror-coat
361,snorunt,60,7,168,moody,ice-body,inner-focus,headbutt,body-slam,double-edge,leer,bite,disable,ice-beam
362,glalie,168,15,2565,moody,ice-body,inner-focus,headbutt,body-slam,double-edge,leer,bite,ice-beam,blizzard
363,spheal,58,8,395,oblivious,ice-body,thick-fat,headbutt,body-slam,double-edge,growl,water-gun,surf,ice-beam
364,sealeo,144,11,876,oblivious,ice-body,thick-fat,headbutt,body-slam,double-edge,growl,roar,water-gun,surf
365,walrein,239,14,1506,oblivious,ice-body,thick-fat,headbutt,body-slam,double-edge,growl,roar,water-gun,surf
366,clamperl,69,4,525,rattled,shell-armor,,body-slam,double-edge,supersonic,water-gun,surf,ice-beam,blizzard
367,huntail,170,17,270,water-veil,swift-swim,,bind,body-slam,double-edge,bite,hydro-pump,surf,ice-beam
368,gorebyss,170,18,226,hydration,swift-swim,,bind,body-slam,double-edge,hydro-pump,surf,ice-beam,blizzard
369,relicanth,170,10,234,sturdy,rock-head,swift-swim,headbutt,tackle,body-slam,take-down,double-edge,water-gun,hydro-pump
370,luvdisc,116,6,87,hydration,swift-swim,,tackle,take-down,double-edge,supersonic,water-gun,hydro-pump,surf
371,bagon,60,6,421,sheer-force,rock-head,,cut,headbutt,body-slam,thrash,double-edge,leer,bite
372,shelgon,147,11,1105,overcoat,rock-head,,cut,headbutt,body-slam,double-edge,leer,bite,roar
373,salamence,270,15,1026,moxie,intimidate,,cut,fly,headbutt,body-slam,double-edge,leer,bite
374,beldum,60,6,952,light-metal,clear-body,,headbutt,take-down,iron-defense,zen-headbutt,iron-head,,
375,metang,147,12,2025,light-metal,clear-body,,ice-punch,thunder-punch,cut,headbutt,body-slam,take-down,double-edge
376,metagross,270,16,5500,light-metal,clear-body,,ice-punch,thunder-punch,cut,headbutt,body-slam,take-down,double-edge
377,regirock,261,17,2300,sturdy,clear-body,,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt
378,regice,261,18,1750,ice-body,clear-body,,mega-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt,body-slam
379,registeel,261,19,2050,light-metal,clear-body,,mega-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt,body-slam
380,latias,270,14,400,levitate,,,cut,fly,body-slam,double-edge,roar,surf,ice-beam
381,latios,270,20,600,levitate,,,cut,fly,body-slam,double-edge,roar,surf,ice-beam
382,kyogre,302,45,3520,drizzle,,,headbutt,body-slam,double-edge,roar,hydro-pump,surf,ice-beam
383,groudon,302,35,9500,drought,,,mega-punch,fire-punch,thunder-punch,swords-dance,cut,mega-kick,headbutt
384,rayquaza,306,70,2065,air-lock,,,swords-dance,fly,bind,headbutt,body-slam,double-edge,roar
385,jirachi,270,3,11,serene-grace,,,fire-punch,ice-punch,thunder-punch,headbutt,body-slam,double-edge,hyper-beam
386,deoxys-normal,270,17,608,pressure,,,fire-punch,ice-punch,thunder-punch,cut,bind,headbutt,body-slam
387,turtwig,64,4,102,shell-armor,overgrow,,swords-dance,cut,headbutt,tackle,body-slam,thrash,double-edge
388,grotle,142,11,970,shell-armor,overgrow,,swords-dance,cut,headbutt,tackle,bite,strength,absorb
389,torterra,236,22,3100,shell-armor,overgrow,,swords-dance,cut,headbutt,tackle,bite,roar,hyper-beam
390,chimchar,62,5,62,iron-fist,blaze,,fire-punch,thunder-punch,scratch,swords-dance,cut,double-kick,headbutt
391,monferno,142,9,220,iron-fist,blaze,,fire-punch,thunder-punch,scratch,swords-dance,cut,headbutt,leer
392,infernape,240,12,550,iron-fist,blaze,,fire-punch,thunder-punch,scratch,swords-dance,cut,headbutt,leer
393,piplup,63,4,52,defiant,torrent,,pound,cut,headbutt,fury-attack,growl,supersonic,mist
394,prinplup,142,8,230,defiant,torrent,,cut,headbutt,fury-attack,tackle,growl,mist,hydro-pump
395,empoleon,239,17,845,defiant,torrent,,swords-dance,cut,headbutt,fury-attack,tackle,growl,roar
396,starly,49,3,20,reckless,keen-eye,,wing-attack,whirlwind,fly,sand-attack,fury-attack,tackle,take-down
397,staravia,119,6,155,reckless,intimidate,,wing-attack,whirlwind,fly,tackle,take-down,growl,toxic
398,staraptor,218,12,249,reckless,intimidate,,wing-attack,whirlwind,fly,tackle,take-down,growl,hyper-beam
399,bidoof,50,5,200,moody,unaware,simple,swords-dance,cut,headbutt,tackle,take-down,double-edge,growl
400,bibarel,144,10,315,moody,unaware,simple,swords-dance,cut,headbutt,tackle,take-down,growl,water-gun
401,kricketot,39,3,22,run-away,shed-skin,,growl,string-shot,bide,snore,mud-slap,uproar,endeavor
402,kricketune,134,10,255,technician,swarm,,swords-dance,cut,growl,sing,hyper-beam,strength,absorb
403,shinx,53,5,95,guts,intimidate,rivalry,double-kick,headbutt,tackle,take-down,leer,bite,roar
404,luxio,127,9,305,guts,intimidate,rivalry,headbutt,tackle,leer,bite,roar,strength,thunderbolt
405,luxray,235,14,420,guts,intimidate,rivalry,headbutt,tackle,leer,bite,roar,hyper-beam,strength
406,budew,56,2,12,leaf-guard,poison-point,natural-cure,swords-dance,cut,pin-missile,absorb,mega-drain,growth,razor-leaf
407,roserade,232,9,145,technician,poison-point,natural-cure,swords-dance,cut,poison-sting,hyper-beam,mega-drain,solar-beam,toxic
408,cranidos,70,9,315,sheer-force,mold-breaker,,fire-punch,thunder-punch,swords-dance,whirlwind,slam,stomp,headbutt
409,rampardos,173,16,1025,sheer-force,mold-breaker,,fire-punch,thunder-punch,swords-dance,cut,headbutt,take-down,leer
410,shieldon,70,5,570,soundproof,sturdy,,headbutt,tackle,body-slam,take-down,double-edge,roar,flamethrower
411,bastiodon,173,13,1495,soundproof,sturdy,,headbutt,tackle,take-down,roar,flamethrower,ice-beam,blizzard
412,burmy,45,2,34,overcoat,shed-skin,,tackle,string-shot,snore,protect,hidden-power,bug-bite,electroweb
413,wormadam-plant,148,5,65,overcoat,anticipation,,tackle,psybeam,hyper-beam,growth,razor-leaf,solar-beam,string-shot
414,mothim,148,9,233,tinted-lens,swarm,,gust,tackle,psybeam,hyper-beam,solar-beam,poison-powder,string-shot
415,combee,49,3,55,hustle,honey-gather,,gust,string-shot,swift,snore,mud-slap,sweet-scent,endeavor
416,vespiquen,166,12,385,unnerve,pressure,,cut,gust,poison-sting,hyper-beam,string-shot,toxic,double-team
417,pachirisu,142,4,39,volt-absorb,pickup,run-away,thunder-punch,cut,headbutt,tail-whip,bite,growl,thunderbolt
418,buizel,66,7,295,water-veil,swift-swim,,double-slap,ice-punch,razor-wind,headbutt,growl,sonic-boom,water-gun
419,floatzel,173,11,335,water-veil,swift-swim,,ice-punch,razor-wind,headbutt,growl,roar,sonic-boom,water-gun
420,cherubi,55,4,33,chlorophyll,,,swords-dance,tackle,take-down,leech-seed,growth,razor-leaf,solar-beam
421,cherrim,158,5,93,flower-gift,,,swords-dance,tackle,take-down,hyper-beam,leech-seed,growth,solar-beam
422,shellos,65,3,63,sand-force,storm-drain,sticky-hold,headbutt,body-slam,mist,surf,ice-beam,blizzard,counter
423,gastrodon,166,9,299,sand-force,storm-drain,sticky-hold,headbutt,body-slam,surf,ice-beam,blizzard,hyper-beam,strength
424,ambipom,169,12,203,skill-link,pickup,technician,fire-punch,ice-punch,thunder-punch,scratch,cut,sand-attack,headbutt
425,drifloon,70,4,12,flare-boost,unburden,aftermath,cut,gust,bind,body-slam,disable,thunderbolt,thunder-wave
426,drifblim,174,12,150,flare-boost,unburden,aftermath,cut,gust,fly,bind,hyper-beam,thunderbolt,thunder-wave
427,buneary,70,4,55,limber,klutz,run-away,pound,fire-punch,ice-punch,thunder-punch,cut,jump-kick,headbutt
428,lopunny,168,12,333,limber,klutz,cute-charm,pound,fire-punch,ice-punch,thunder-punch,cut,jump-kick,headbutt
429,mismagius,173,9,44,levitate,,,headbutt,growl,hyper-beam,thunderbolt,thunder-wave,thunder,toxic
430,honchkrow,177,9,273,moxie,super-luck,insomnia,wing-attack,fly,hyper-beam,thunder-wave,toxic,psychic,double-team
431,glameow,62,5,39,keen-eye,own-tempo,limber,scratch,cut,sand-attack,headbutt,tail-whip,bite,growl
432,purugly,158,10,438,defiant,own-tempo,thick-fat,scratch,cut,headbutt,body-slam,growl,roar,hyper-beam
433,chingling,57,2,6,levitate,,,bind,wrap,growl,disable,thunder-wave,toxic,confusion
434,stunky,66,4,192,keen-eye,aftermath,stench,scratch,cut,headbutt,double-edge,leer,bite,roar
435,skuntank,168,10,380,keen-eye,aftermath,stench,scratch,cut,headbutt,bite,roar,flamethrower,hyper-beam
436,bronzor,60,5,605,heavy-metal,heatproof,levitate,tackle,solar-beam,earthquake,toxic,confusion,psychic,hypnosis
437,bronzong,175,13,1870,heavy-metal,heatproof,levitate,tackle,hyper-beam,strength,solar-beam,earthquake,toxic,confusion
438,bonsly,58,5,150,rattled,rock-head,sturdy,slam,headbutt,double-edge,low-kick,counter,rock-throw,dig
439,mime-jr,62,6,130,technician,filter,soundproof,double-slap,headbutt,psybeam,solar-beam,thunderbolt,thunder-wave,thunder
440,happiny,110,6,244,friend-guard,serene-grace,natural-cure,pound,headbutt,flamethrower,counter,solar-beam,thunder-wave,toxic
441,chatot,144,5,19,big-pecks,tangled-feet,keen-eye,fly,fury-attack,growl,sing,supersonic,peck,toxic
442,spiritomb,170,10,1080,infiltrator,pressure,,hyper-beam,toxic,psychic,hypnosis,double-team,smokescreen,confuse-ray
443,gible,60,7,205,rough-skin,sand-veil,,cut,sand-attack,headbutt,tackle,body-slam,take-down,thrash
444,gabite,144,14,560,rough-skin,sand-veil,,cut,sand-attack,headbutt,tackle,take-down,roar,flamethrower
445,garchomp,270,19,950,rough-skin,sand-veil,,swords-dance,cut,sand-attack,headbutt,tackle,take-down,roar
446,munchlax,78,6,1050,gluttony,thick-fat,pickup,fire-punch,ice-punch,thunder-punch,whirlwind,headbutt,tackle,body-slam
447,riolu,57,7,202,prankster,inner-focus,steadfast,ice-punch,thunder-punch,swords-dance,headbutt,bite,roar,low-kick
448,lucario,184,12,540,justified,inner-focus,steadfast,ice-punch,thunder-punch,swords-dance,headbutt,roar,hyper-beam,low-kick
449,hippopotas,66,8,495,sand-force,sand-stream,,whirlwind,sand-attack,headbutt,tackle,body-slam,take-down,double-edge
450,hippowdon,184,20,3000,sand-force,sand-stream,,sand-attack,headbutt,tackle,take-down,double-edge,bite,roar
451,skorupi,66,8,120,keen-eye,sniper,battle-armor,swords-dance,cut,whirlwind,sand-attack,headbutt,poison-sting,twineedle
452,drapion,175,13,615,keen-eye,sniper,battle-armor,swords-dance,cut,headbutt,poison-sting,pin-missile,leer,bite
453,croagunk,60,7,230,poison-touch,dry-skin,anticipation,ice-punch,thunder-punch,headbutt,poison-sting,low-kick,counter,strength
454,toxicroak,172,13,444,poison-touch,dry-skin,anticipation,ice-punch,thunder-punch,swords-dance,cut,headbutt,poison-sting,hyper-beam
455,carnivine,159,14,270,levitate,,,swords-dance,cut,bind,slam,vine-whip,bite,hyper-beam
456,finneon,66,4,70,water-veil,storm-drain,swift-swim,pound,gust,water-gun,surf,ice-beam,blizzard,psybeam
457,lumineon,161,12,240,water-veil,storm-drain,swift-swim,pound,gust,water-gun,surf,ice-beam,blizzard,hyper-beam
458,mantyke,69,10,650,water-veil,water-absorb,swift-swim,wing-attack,slam,headbutt,tackle,take-down,supersonic,hydro-pump
459,snover,67,10,505,soundproof,snow-warning,,ice-punch,swords-dance,stomp,headbutt,double-edge,leer,mist
460,abomasnow,173,22,1355,soundproof,snow-warning,,ice-punch,swords-dance,headbutt,leer,mist,ice-beam,blizzard
